Name,Full Name,Sector,Industry
KONI,Perdana Bangun Pusaka Tbk,TRADE,Wholesale (Durable Goods)
KOPI,Mitra Energi Persada Tbk.,INFRA,Energy
KOTA,DMS Propertindo Tbk.,PROPERTY,Property and Real Estates
KPAL,Steadfast Marine Tbk.,MISC-IND,Machinery and Heavy Equipment
KPAS,Cottonindo Ariesta Tbk.,CONSUMER,Cosmetics and Household
KPIG,MNC Land Tbk.,TRADE,Restaurant, Hotel & Tourism
KRAH,Grand Kartech Tbk.,MISC-IND,Machinery and Heavy Equipment
KRAS,Krakatau Steel (Persero) Tbk.,BASIC-IND,Metaland Allied Products
KREN,Kresna Graha Investama Tbk.,TRADE,Investment Company
LAMI,Lamicitra Nusantara Tbk.,PROPERTY,Property and Real Estates
LAND,Trimitra Propertindo Tbk.,PROPERTY,Property and Real Estates
LAPD,Leyand International Tbk.,INFRA,Energy
LCGP,Eureka Prima Jakarta Tbk.,PROPERTY,Property and Real Estates
LCKM,LCK Global Kedaton Tbk.,INFRA,Construction
LEAD,Logindo Samudramakmur Tbk.,INFRA,Transportation
LIFE,Asuransi Jiwa Sinarmas MSIG Tbk.,FINANCE,Insurance
LINK,Link Net Tbk.,TRADE,Advertising, Printing and Media
LION,Lion Metal Works Tbk.,BASIC-IND,Metaland Allied Products
LMAS,Limas Indonesia Makmur Tbk,TRADE,Computer and Services
LMPI,Langgeng Makmur Industri Tbk.,CONSUMER,Houseware
LMSH,Lionmesh Prima Tbk.,BASIC-IND,Metaland Allied Products
LPCK,Lippo Cikarang Tbk,PROPERTY,Property and Real Estates
LPGI,Lippo General Insurance Tbk.,FINANCE,Insurance
LPIN,Multi Prima Sejahtera Tbk,MISC-IND,Automotive and Components
LPKR,Lippo Karawaci Tbk.,PROPERTY,Property and Real Estates
LPLI,Star Pacific Tbk,TRADE,Advertising, Printing and Media
LPPF,Matahari Department Store Tbk.,TRADE,Retail Trade
LPPS,Lenox Pasifik Investama Tbk.,FINANCE,Others Finance
LRNA,Eka Sari Lorena Transport Tbk.,INFRA,Transportation
LSIP,PP London Sumatra Indonesia Tbk.,AGRI,Plantation
LTLS,Lautan Luas Tbk.,TRADE,Wholesale (Durable Goods)
LUCK,Sentral Mitra Informatika Tbk.,TRADE,Computer and Services
MABA,Marga Abhinaya Abadi Tbk.,PROPERTY,Property and Real Estates
MAGP,Multi Agro Gemilang Plantation Tbk.,AGRI,Plantation
MAIN,Malindo Feedmill Tbk.,BASIC-IND,Animal Feed
MAMI,Mas Murni Indonesia Tbk,TRADE,Restaurant, Hotel & Tourism
MAMIP,Mas Murni Tbk (Saham Preferen),TRADE,Restaurant, Hotel & Tourism
MAPA,Map Aktif Adiperkasa Tbk.,TRADE,Retail Trade
MAPB,MAP Boga Adiperkasa Tbk.,TRADE,Restaurant, Hotel & Tourism
MAPI,Mitra Adiperkasa Tbk.,TRADE,Retail Trade
MARI,Mahaka Radio Integra Tbk.,TRADE,Advertising, Printing and Media
MARK,Mark Dynamics Indonesia Tbk.,BASIC-IND,Ceramics, Glass, Porcelain
MASA,Multistrada Arah Sarana Tbk.,MISC-IND,Automotive and Components
MAYA,Bank Mayapada Internasional Tbk.,FINANCE,Bank
MBAP,Mitrabara Adiperdana Tbk.,MINING,Coal Mining
MBSS,Mitrabahtera Segara Sejati Tbk.,INFRA,Transportation
MBTO,Martina Berto Tbk.,CONSUMER,Cosmetics and Household
MCAS,M Cash Integrasi Tbk.,TRADE,Retail Trade
MCOR,Bank China Construction Bank Indonesia Tbk.,FINANCE,Bank
MDIA,Intermedia Capital Tbk.,TRADE,Advertising, Printing and Media
MDKA,Merdeka Copper Gold Tbk.,MINING,Metal & Mineral Mining
MDKI,Emdeki Utama Tbk.,BASIC-IND,Chemicals
MDLN,Modernland Realty Tbk.,PROPERTY,Property and Real Estates
MDRN,Modern Internasional Tbk.,TRADE,Wholesale (Durable Goods)
MEDC,Medco Energi Internasional Tbk.,MINING,Crude Petroleum & Natural Gas Production
MEGA,Bank Mega Tbk.,FINANCE,Bank
MERK,Merck Tbk.,CONSUMER,Pharmaceuticals
META,Nusantara Infrastructure Tbk.,INFRA,Toll Road, Airport, Harbor & Allied Prod
MFIN,Mandala Multifinance Tbk.,FINANCE,Financial Institution
MFMI,Multifiling Mitra Indonesia Tbk.,TRADE,Others Trade, Service & Investment
MGNA,Magna Investama Mandiri Tbk.,TRADE,Investment Company
MGRO,Mahkota Group Tbk.,AGRI,Plantation
MICE,Multi Indocitra Tbk.,TRADE,Wholesale (Durable Goods)
MIDI,Midi Utama Indonesia Tbk.,TRADE,Retail Trade
MIKA,Mitra Keluarga Karyasehat Tbk.,TRADE,Health Care
MINA,Sanurhasta Mitra Tbk.,TRADE,Restaurant, Hotel & Tourism
MIRA,Mitra International Resources Tbk.,INFRA,Transportation
MITI,Mitra Investindo Tbk.,MINING,Crude Petroleum & Natural Gas Production
MKNT,Mitra Komunikasi Nusantara Tbk.,TRADE,Retail Trade
MKPI,Metropolitan Kentjana Tbk.,PROPERTY,Property and Real Estates
MLBI,Multi Bintang Indonesia Tbk.,CONSUMER,Food and Beverages
MLIA,Mulia Industrindo Tbk,BASIC-IND,Ceramics, Glass, Porcelain
MLPL,Multipolar Tbk.,TRADE,Investment Company
MLPT,Multipolar Technology Tbk.,TRADE,Computer and Services
MMLP,Mega Manunggal Property Tbk.,PROPERTY,Property and Real Estates
MNCN,Media Nusantara Citra Tbk.,TRADE,Advertising, Printing and Media
MOLI,Madusari Murni Indah Tbk.,BASIC-IND,Chemicals
MPMX,Mitra Pinasthika Mustika Tbk.,TRADE,Wholesale (Durable Goods)
MPOW,Megapower Makmur Tbk.,INFRA,Energy
MPPA,Matahari Putra Prima Tbk.,TRADE,Retail Trade
MPRO,Maha Properti Indonesia Tbk.,PROPERTY,Property and Real Estates
MRAT,Mustika Ratu Tbk.,CONSUMER,Cosmetics and Household
MREI,Maskapai Reasuransi Indonesia Tbk.,FINANCE,Insurance
MSIN,MNC Studios International Tbk.,TRADE,Advertising, Printing and Media
MSKY,MNC Sky Vision Tbk.,TRADE,Advertising, Printing and Media
MTDL,Metrodata Electronics Tbk.,TRADE,Computer and Services
MTFN,Capitalinc Investment Tbk.,MINING,Crude Petroleum & Natural Gas Production
MTLA,Metropolitan Land Tbk.,PROPERTY,Property and Real Estates
MTPS,Meta Epsi Tbk.,INFRA,Construction
MTRA,Mitra Pemuda Tbk.,PROPERTY,Building Construction
MTSM,Metro Realty Tbk.,PROPERTY,Property and Real Estates
MTWI,Malacca Trust Wuwungan Insurance Tbk.,FINANCE,Insurance
MYOH,Samindo Resources Tbk.,MINING,Coal Mining
MYOR,Mayora Indah Tbk.,CONSUMER,Food and Beverages
MYRX,Hanson International Tbk.,PROPERTY,Property and Real Estates
MYRXP,Saham Seri B Hanson International Tbk.,PROPERTY,Property and Real Estates
MYTX,Asia Pacific Investama Tbk.,MISC-IND,Textile, Garment
NAGA,Bank Mitraniaga Tbk.,FINANCE,Bank
NASA,Ayana Land International Tbk.,TRADE,Restaurant, Hotel & Tourism
NATO,Nusantara Properti Internasional Tbk.,TRADE,Restaurant, Hotel & Tourism
NELY,Pelayaran Nelly Dwi Putri Tbk.,INFRA,Transportation
NFCX,NFC Indonesia Tbk.,TRADE,Retail Trade
NICK,Charnic Capital Tbk.,TRADE,Investment Company
NIKL,Pelat Timah Nusantara Tbk.,BASIC-IND,Metaland Allied Products
NIPS,Nipress Tbk.,MISC-IND,Automotive and Components
NIRO,City Retail Developments Tbk.,PROPERTY,Property and Real Estates
NISP,Bank OCBC NISP Tbk.,FINANCE,Bank
NOBU,Bank Nationalnobu Tbk.,FINANCE,Bank
NRCA,Nusa Raya Cipta Tbk.,PROPERTY,Building Construction
NUSA,Sinergi Megah Internusa Tbk.,TRADE,Restaurant, Hotel & Tourism
NZIA,Nusantara Almazia Tbk.,PROPERTY,Property and Real Estates
OASA,Protech Mitra Perkasa Tbk.,INFRA,Construction
OCAP,Onix Capital Tbk.,TRADE,Investment Company
OKAS,Ancora Indonesia Resources Tbk.,TRADE,Wholesale (Durable Goods)
OMRE,Indonesia Prima Property Tbk,PROPERTY,Property and Real Estates
OPMS,Optima Prima Metal Sinergi Tbk.,TRADE,Wholesale (Durable Goods)
PADI,Minna Padi Investama Sekuritas Tbk.,FINANCE,Securities Company
PALM,Provident Agro Tbk.,AGRI,Plantation
PAMG,Bima Sakti Pertiwi Tbk.,PROPERTY,Property and Real Estates
PANI,Pratama Abadi Nusa Industri Tbk.,CONSUMER,Food and Beverages
PANR,Panorama Sentrawisata Tbk.,TRADE,Restaurant, Hotel & Tourism
PANS,Panin Sekuritas Tbk.,FINANCE,Securities Company
PBID,Panca Budi Idaman Tbk.,BASIC-IND,Plastics
PBRX,Pan Brothers Tbk.,MISC-IND,Textile, Garment
PBSA,Paramita Bangun Sarana Tbk.,PROPERTY,Building Construction
PCAR,Prima Cakrawala Abadi Tbk.,CONSUMER,Food and Beverages
PDES,Destinasi Tirta Nusantara Tbk,TRADE,Restaurant, Hotel & Tourism
PEGE,Panca Global Kapital Tbk.,TRADE,Investment Company
PEHA,Phapros Tbk.,CONSUMER,Pharmaceuticals
PGAS,Perusahaan Gas Negara Tbk.,INFRA,Energy
PGJO,Tourindo Guide Indonesia Tbk.,TRADE,Restaurant, Hotel & Tourism
PGLI,Pembangunan Graha Lestari Indah Tbk.,TRADE,Restaurant, Hotel & Tourism
PGUN,Pradiksi Gunatama Tbk.,AGRI,Plantation
PICO,Pelangi Indah Canindo Tbk,BASIC-IND,Metaland Allied Products
PJAA,Pembangunan Jaya Ancol Tbk.,TRADE,Restaurant, Hotel & Tourism
PKPK,Perdana Karya Perkasa Tbk,MINING,Crude Petroleum & Natural Gas Production
PLAN,Planet Properindo Jaya Tbk.,TRADE,Restaurant, Hotel & Tourism
PLAS,Polaris Investama Tbk,TRADE,Investment Company
PLIN,Plaza Indonesia Realty Tbk.,PROPERTY,Property and Real Estates
PMJS,Putra Mandiri Jembar Tbk.,TRADE,Wholesale (Durable Goods)
PNBN,Bank Pan Indonesia Tbk,FINANCE,Bank
PNBS,Bank Panin Dubai Syariah Tbk.,FINANCE,Bank
PNGO,Pinago Utama Tbk.,AGRI,Plantation
PNIN,Paninvest Tbk.,FINANCE,Insurance
PNLF,Panin Financial Tbk.,FINANCE,Others Finance
PNSE,Pudjiadi & Sons Tbk.,TRADE,Restaurant, Hotel & Tourism
POLA,Pool Advista Finance Tbk.,FINANCE,Financial Institution
POLI,Pollux Investasi Internasional Tbk.,PROPERTY,Property and Real Estates
POLL,Pollux Properti Indonesia Tbk.,PROPERTY,Property and Real Estates
POLU,Golden Flower Tbk.,MISC-IND,Textile, Garment
POLY,Asia Pacific Fibers Tbk,MISC-IND,Textile, Garment
POOL,Pool Advista Indonesia Tbk.,TRADE,Investment Company
PORT,Nusantara Pelabuhan Handal Tbk.,INFRA,Transportation
POSA,Bliss Properti Indonesia Tbk.,PROPERTY,Property and Real Estates
POWR,Cikarang Listrindo Tbk.,INFRA,Energy
PPGL,Prima Globalindo Logistik Tbk.,INFRA,Transportation
PPRE,PP Presisi Tbk.,INFRA,Construction
PPRO,PP Properti Tbk.,PROPERTY,Property and Real Estates
PRAS,Prima Alloy Steel Universal Tbk.,MISC-IND,Automotive and Components
PRDA,Prodia Widyahusada Tbk.,TRADE,Health Care
PRIM,Royal Prima Tbk.,TRADE,Health Care
PSAB,J Resources Asia Pasifik Tbk.,MINING,Metal & Mineral Mining
PSDN,Prasidha Aneka Niaga Tbk,CONSUMER,Food and Beverages
PSGO,Palma Serasih Tbk.,AGRI,Plantation
PSKT,Red Planet Indonesia Tbk.,TRADE,Restaurant, Hotel & Tourism
PSSI,Pelita Samudera Shipping Tbk.,INFRA,Transportation
PTBA,Bukit Asam Tbk.,MINING,Coal Mining
PTIS,Indo Straits Tbk.,INFRA,Transportation
PTPP,PP (Persero) Tbk.,PROPERTY,Building Construction
PTPW,Pratama Widya Tbk.,INFRA,Construction
PTRO,Petrosea Tbk.,MINING,Coal Mining
PTSN,Sat Nusapersada Tbk,MISC-IND,Electronics
PTSP,Pioneerindo Gourmet International Tbk.,TRADE,Restaurant, Hotel & Tourism
PUDP,Pudjiadi Prestige Tbk.,PROPERTY,Property and Real Estates
PURA,Putra Rajawali Kencana Tbk.,INFRA,Transportation
PURE,Trinitan Metals and Minerals Tbk.,BASIC-IND,Metaland Allied Products
PURI,Puri Global Sukses Tbk.,PROPERTY,Property and Real Estates
PWON,Pakuwon Jati Tbk.,PROPERTY,Property and Real Estates
PYFA,Pyridam Farma Tbk,CONSUMER,Pharmaceuticals
PZZA,Sarimelati Kencana Tbk.,TRADE,Restaurant, Hotel & Tourism
R-ABFII,Asian Bond Fund - Indonesia Bond Index Fund,FINANCE,Investment Fund/Mutual Fund
R-LQ45X,Premier ETF LQ-45 (R-LQ45X),FINANCE,Investment Fund/Mutual Fund
RAJA,Rukun Raharja Tbk.,INFRA,Energy
RALS,Ramayana Lestari Sentosa Tbk.,TRADE,Retail Trade
RANC,Supra Boga Lestari Tbk.,TRADE,Retail Trade
RBMS,Ristia Bintang Mahkotasejati Tbk.,PROPERTY,Property and Real Estates
RDTX,Roda Vivatex Tbk,PROPERTY,Property and Real Estates
REAL,Repower Asia Indonesia Tbk.,PROPERTY,Property and Real Estates
RELI,Reliance Sekuritas Indonesia Tbk.,FINANCE,Securities Company
RICY,Ricky Putra Globalindo Tbk,MISC-IND,Textile, Garment
RIGS,Rig Tenders Indonesia Tbk.,INFRA,Transportation
RIMO,Rimo International Lestari Tbk,PROPERTY,Property and Real Estates
RISE,Jaya Sukses Makmur Sentosa Tbk.,PROPERTY,Property and Real Estates
RMBA,Bentoel Internasional Investama Tbk.,CONSUMER,Tobacco Manufacturers
ROCK,Rockfields Properti Indonesia Tbk.,PROPERTY,Property and Real Estates
RODA,Pikko Land Development Tbk.,PROPERTY,Property and Real Estates
RONY,Aesler Grup Internasional Tbk.,TRADE,Others Trade, Service & Investment
ROTI,Nippon Indosari Corpindo Tbk.,CONSUMER,Food and Beverages
RUIS,Radiant Utama Interinsco Tbk.,MINING,Crude Petroleum & Natural Gas Production
SAFE,Steady Safe Tbk,INFRA,Transportation
SAME,Sarana Meditama Metropolitan Tbk.,TRADE,Health Care
SAMF,Saraswanti Anugerah Makmur Tbk.,BASIC-IND,Chemicals
SAPX,Satria Antaran Prima Tbk.,INFRA,Transportation
SATU,Kota Satu Properti Tbk.,PROPERTY,Property and Real Estates
SBAT,Sejahtera Bintang Abadi Textile Tbk.,MISC-IND,Textile, Garment
SCBD,Danayasa Arthatama Tbk.,PROPERTY,Property and Real Estates
SCCO,Supreme Cable Manufacturing & Commerce Tbk.,MISC-IND,Cable
SCMA,Surya Citra Media Tbk.,TRADE,Advertising, Printing and Media
SCNP,Selaras Citra Nusantara Perkasa Tbk.,MISC-IND,Electronics
SCPI,Merck Sharp Dohme Pharma Tbk.,CONSUMER,Pharmaceuticals
SDMU,Sidomulyo Selaras Tbk.,INFRA,Transportation
SDPC,Millennium Pharmacon International Tbk.,TRADE,Wholesale (Durable Goods)
SDRA,Bank Woori Saudara Indonesia 1906 Tbk.,FINANCE,Bank
SFAN,Surya Fajar Capital Tbk.,TRADE,Others Trade, Service & Investment
SGER,Sumber Global Energy Tbk.,TRADE,Wholesale (Durable Goods)
SGRO,Sampoerna Agro Tbk.,AGRI,Plantation
SHID,Hotel Sahid Jaya International Tbk.,TRADE,Restaurant, Hotel & Tourism
SHIP,Sillo Maritime Perdana Tbk.,INFRA,Transportation
SIAP,Sekawan Intipratama Tbk,MINING,Land/Stone Quarrying
SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk.,CONSUMER,Pharmaceuticals
SILO,Siloam International Hospitals Tbk.,TRADE,Health Care
SIMA,Siwani Makmur Tbk,TRADE,Others Trade, Service & Investment
SIMP,Salim Ivomas Pratama Tbk.,AGRI,Plantation
SINI,Singaraja Putra Tbk.,BASIC-IND,Wood Industries
SIPD,Sierad Produce Tbk.,BASIC-IND,Animal Feed
SKBM,Sekar Bumi Tbk.,CONSUMER,Food and Beverages
SKLT,Sekar Laut Tbk.,CONSUMER,Food and Beverages
SKRN,Superkrane Mitra Utama Tbk.,PROPERTY,Building Construction
SKYB,Northcliff Citranusa Indonesia Tbk.,TRADE,Retail Trade
SLIS,Gaya Abadi Sempurna Tbk.,MISC-IND,Electronics
SMAR,Smart Tbk.,AGRI,Plantation
SMBR,Semen Baturaja (Persero) Tbk.,BASIC-IND,Cement
SMCB,Solusi Bangun Indonesia Tbk.,BASIC-IND,Cement
SMDM,Suryamas Dutamakmur Tbk.,PROPERTY,Property and Real Estates
SMDR,Samudera Indonesia  Tbk.,INFRA,Transportation
SMGR,Semen Indonesia (Persero) Tbk.,BASIC-IND,Cement
SMKL,Satyamitra Kemas Lestari Tbk.,BASIC-IND,Plastics
SMMA,Sinarmas Multiartha Tbk.,FINANCE,Others Finance
SMMT,Golden Eagle Energy Tbk.,MINING,Coal Mining
SMRA,Summarecon Agung Tbk.,PROPERTY,Property and Real Estates
SMRU,SMR Utama Tbk.,MINING,Coal Mining
SMSM,Selamat Sempurna Tbk.,MISC-IND,Automotive and Components
SOBI,Sorini Agro Asia Corporindo Tbk.,BASIC-IND,Chemicals
SOCI,Soechi Lines Tbk.,INFRA,Transportation
SOFA,Boston Furniture Industries Tbk.,CONSUMER,Houseware
SOHO,Soho Global Health Tbk.,CONSUMER,Pharmaceuticals
SONA,Sona Topas Tourism Industry Tbk.,TRADE,Retail Trade
SOSS,Shield On Service Tbk.,TRADE,Others Trade, Service & Investment
SOTS,Satria Mega Kencana Tbk.,TRADE,Restaurant, Hotel & Tourism
SPMA,Suparma Tbk.,BASIC-IND,Pulp and Paper
SPTO,Surya Pertiwi Tbk.,TRADE,Wholesale (Durable Goods)
SQMI,Wilton Makmur Indonesia Tbk.,TRADE,Wholesale (Durable Goods)
SRAJ,Sejahteraraya Anugrahjaya Tbk.,TRADE,Health Care
SRIL,Sri Rejeki Isman Tbk.,MISC-IND,Textile, Garment
SRSN,Indo Acidatama Tbk,BASIC-IND,Chemicals
SRTG,Saratoga Investama Sedaya Tbk.,TRADE,Investment Company
SSIA,Surya Semesta Internusa Tbk.,PROPERTY,Building Construction
SSMS,Sawit Sumbermas Sarana Tbk.,AGRI,Plantation
SSTM,Sunson Textile Manufacture Tbk,MISC-IND,Textile, Garment
STAR,Buana Artha Anugerah Tbk.,MISC-IND,Textile, Garment
STTP,Siantar Top Tbk.,CONSUMER,Food and Beverages
SUGI,Sugih Energy Tbk.,TRADE,Wholesale (Durable Goods)
SULI,SLJ Global Tbk.,BASIC-IND,Wood Industries
SUPR,Solusi Tunas Pratama Tbk.,INFRA,Construction
SURE,Super Energy Tbk.,MINING,Crude Petroleum & Natural Gas Production
SWAT,Sriwahana Adityakarta Tbk.,BASIC-IND,Pulp and Paper
TALF,Tunas Alfin Tbk.,BASIC-IND,Plastics
TAMA,Lancartama Sejati Tbk.,PROPERTY,Building Construction
TAMU,Pelayaran Tamarin Samudra Tbk.,INFRA,Transportation
TARA,Sitara Propertindo Tbk.,PROPERTY,Property and Real Estates
TAXI,Express Transindo Utama Tbk.,INFRA,Transportation
TBIG,Tower Bersama Infrastructure Tbk.,INFRA,Construction
TBLA,Tunas Baru Lampung Tbk.,CONSUMER,Food and Beverages
TBMS,Tembaga Mulia Semanan Tbk.,BASIC-IND,Metaland Allied Products
TCID,Mandom Indonesia Tbk.,CONSUMER,Cosmetics and Household
TCPI,Transcoal Pacific Tbk.,INFRA,Transportation
TDPM,Tridomain Performance Materials Tbk.,BASIC-IND,Chemicals
TEBE,Dana Brata Luhur Tbk.,INFRA,Toll Road, Airport, Harbor & Allied Prod
TECH,Indosterling Technomedia Tbk.,TRADE,Computer and Services
TELE,Tiphone Mobile Indonesia Tbk.,TRADE,Retail Trade
TFAS,Telefast Indonesia Tbk.,TRADE,Wholesale (Durable Goods)
TFCO,Tifico Fiber Indonesia Tbk.,MISC-IND,Textile, Garment
TGKA,Tigaraksa Satria Tbk.,TRADE,Wholesale (Durable Goods)
TGRA,Terregra Asia Energy Tbk.,INFRA,Energy
TIFA,KDB Tifa Finance Tbk.,FINANCE,Financial Institution
TINS,Timah Tbk.,MINING,Metal & Mineral Mining
TIRA,Tira Austenite Tbk,TRADE,Wholesale (Durable Goods)
TIRT,Tirta Mahakam Resources Tbk,BASIC-IND,Wood Industries
TKGA,Permata Prima Sakti Tbk.,MINING,Coal Mining
TKIM,Pabrik Kertas Tjiwi Kimia Tbk.,BASIC-IND,Pulp and Paper
TLKM,Telekomunikasi Indonesia (Persero) Tbk.,INFRA,Telecomunication
TMAS,Temas Tbk.,INFRA,Transportation
TMPI,Sigmagold Inti Perkasa Tbk.,TRADE,Wholesale (Durable Goods)
TMPO,Tempo Intimedia Tbk.,TRADE,Advertising, Printing and Media
TNCA,Trimuda Nuansa Citra Tbk.,INFRA,Transportation
TOBA,Toba Bara Sejahtra Tbk.,MINING,Coal Mining
TOPS,Totalindo Eka Persada Tbk.,PROPERTY,Building Construction
TOTL,Total Bangun Persada Tbk.,PROPERTY,Building Construction
TOTO,Surya Toto Indonesia Tbk.,BASIC-IND,Ceramics, Glass, Porcelain
TOWR,Sarana Menara Nusantara Tbk.,INFRA,Construction
TOYS,Sunindo Adipersada Tbk.,CONSUMER,Others Consumer Goods
TPIA,Chandra Asri Petrochemical Tbk.,BASIC-IND,Chemicals
TPMA,Trans Power Marine Tbk.,INFRA,Transportation
TRAM,Trada Alam Minera Tbk.,MINING,Coal Mining
TRIL,Triwira Insanlestari Tbk.,TRADE,Wholesale (Durable Goods)
TRIM,Trimegah Sekuritas Indonesia Tbk.,FINANCE,Securities Company
TRIN,Perintis Triniti Properti Tbk.,PROPERTY,Property and Real Estates
TRIO,Trikomsel Oke Tbk.,TRADE,Retail Trade
TRIS,Trisula International Tbk.,MISC-IND,Textile, Garment
TRJA,Transkon Jaya Tbk.,INFRA,Transportation
TRST,Trias Sentosa Tbk.,BASIC-IND,Plastics
TRUK,Guna Timur Raya Tbk.,INFRA,Transportation
TRUS,Trust Finance Indonesia Tbk,FINANCE,Financial Institution
TSPC,Tempo Scan Pacific Tbk.,CONSUMER,Pharmaceuticals
TUGU,Asuransi Tugu Pratama Indonesia Tbk.,FINANCE,Insurance
TURI,Tunas Ridean Tbk.,TRADE,Wholesale (Durable Goods)
UANG,Pakuan Tbk.,TRADE,Restaurant, Hotel & Tourism
UCID,Uni-Charm Indonesia Tbk.,MISC-IND,Textile, Garment
ULTJ,Ultra Jaya Milk Industry & Trading Company, Tbk.,CONSUMER,Food and Beverages
UNIC,Unggul Indah Cahaya Tbk.,BASIC-IND,Chemicals
UNIT,Nusantara Inti Corpora Tbk,MISC-IND,Textile, Garment
UNSP,Bakrie Sumatera Plantations Tbk.,AGRI,Plantation
UNTR,United Tractors Tbk.,TRADE,Wholesale (Durable Goods)
UNVR,Unilever Indonesia Tbk.,CONSUMER,Cosmetics and Household
URBN,Urban Jakarta Propertindo Tbk.,PROPERTY,Property and Real Estates
VICO,Victoria Investama Tbk.,FINANCE,Others Finance
VINS,Victoria Insurance Tbk.,FINANCE,Insurance
VIVA,Visi Media Asia Tbk.,TRADE,Advertising, Printing and Media
VOKS,Voksel Electric Tbk.,MISC-IND,Cable
VRNA,Verena Multi Finance Tbk.,FINANCE,Financial Institution
WAPO,Wahana Pronatural Tbk.,TRADE,Wholesale (Durable Goods)
WEGE,Wijaya Karya Bangunan Gedung Tbk.,PROPERTY,Building Construction
WEHA,WEHA Transportasi Indonesia Tbk.,INFRA,Transportation
WICO,Wicaksana Overseas International Tbk.,TRADE,Wholesale (Durable Goods)
WIIM,Wismilak Inti Makmur Tbk.,CONSUMER,Tobacco Manufacturers
WIKA,Wijaya Karya (Persero) Tbk.,PROPERTY,Building Construction
WINS,Wintermar Offshore Marine Tbk.,INFRA,Transportation
WOMF,Wahana Ottomitra Multiartha Tbk.,FINANCE,Financial Institution
WOOD,Integra Indocabinet Tbk.,CONSUMER,Houseware
WOWS,Ginting Jaya Energi Tbk.,MINING,Crude Petroleum & Natural Gas Production
WSBP,Waskita Beton Precast Tbk.,BASIC-IND,Cement
WSKT,Waskita Karya (Persero) Tbk.,PROPERTY,Building Construction
WTON,Wijaya Karya Beton Tbk.,BASIC-IND,Cement
XAFA,Reksa Dana Avrist ETF Fixed Rate Bond I,FINANCE,Investment Fund/Mutual Fund
XAQA,Reksa Dana Ashmore ETF LQ45 ALPHA,FINANCE,Investment Fund/Mutual Fund
XASG,Reksa Dana Indeks Aurora ETF FTSE Indonesia ESG,FINANCE,Investment Fund/Mutual Fund
XBES,Reksa Dana Indeks BNI-AM ETF MSCI ESG Leaders Indonesia,FINANCE,Investment Fund/Mutual Fund
XBID,Reksa Dana Indeks Batavia IDX30 ETF,FINANCE,Investment Fund/Mutual Fund
XBIN,Reksa Dana Indeks Bahana ETF Bisnis - 27,FINANCE,Investment Fund/Mutual Fund
XBLQ,Reksa Dana Batavia Smart Liquid ETF,FINANCE,Investment Fund/Mutual Fund
XBNI,Reksa Dana Indeks BNI-AM Nusantara ETF MSCI Indonesia,FINANCE,Investment Fund/Mutual Fund
XBSK,Reksa Dana Indeks Batavia SRI-KEHATI ETF,FINANCE,Investment Fund/Mutual Fund
XCID,DIRE Ciptadana Properti Ritel Indonesia,FINANCE,Investment Fund/Mutual Fund
XCIS,DIRE Ciptadana Properti Perhotelan Padjajaran,FINANCE,Investment Fund/Mutual Fund
XCLQ,Reksa Dana Indeks Cipta ETF Index LQ45,FINANCE,Investment Fund/Mutual Fund
XDIF,Reksa Dana Danareksa ETF Indonesia Top 40,FINANCE,Financial Institution
XIHD,Reksa Dana Indeks Premier ETF IDX High Dividend 20,FINANCE,Investment Fund/Mutual Fund
XIIC,Reksa Dana Premier ETF Indonesia Consumer,FINANCE,Investment Fund/Mutual Fund
XIID,Reksa Dana Indeks Premier ETF Index IDX30,FINANCE,Investment Fund/Mutual Fund
XIIF,Reksa Dana Premier ETF Indonesia Financial,FINANCE,Investment Fund/Mutual Fund
XIIT,Reksa Dana Premier ETF IDX30,FINANCE,Investment Fund/Mutual Fund
XIJI,Reksa Dana Syariah Premier ETF JII,FINANCE,Investment Fund/Mutual Fund
XILV,RDI Insight ETF FTSE Indonesia Low Volatility Factor Index,FINANCE,Investment Fund/Mutual Fund
XIML,Reksa Dana Indeks Premier ETF MSCI Indonesia Large Cap,FINANCE,Investment Fund/Mutual Fund
XIPI,Reksa Dana Indeks Premier ETF PEFINDO i-Grade,FINANCE,Investment Fund/Mutual Fund
XISB,Reksa Dana Premier ETF Indonesia Sovereign Bonds,FINANCE,Investment Fund/Mutual Fund
XISC,Reksa Dana Premier ETF Indonesia Stated-Owned Companies,FINANCE,Investment Fund/Mutual Fund
XISI,Premier ETF SMinfra18,FINANCE,Investment Fund/Mutual Fund
XISR,Premier ETF SRI-KEHATI,FINANCE,Investment Fund/Mutual Fund
XKIV,Reksa Dana Indeks KISI IDX Value30 ETF,FINANCE,Investment Fund/Mutual Fund
XMIG,Reksa Dana Indeks Majoris Pefindo I-Grade ETF Indonesia,FINANCE,Investment Fund/Mutual Fund
XMJM,DINFRA TOLL ROAD MANDIRI-001,FINANCE,Investment Fund/Mutual Fund
XMTS,Reksa Dana ETF MNC36 Likuid,FINANCE,Investment Fund/Mutual Fund
XNVE,Reksa Dana Indeks Nusadana ETF IDX Value30,FINANCE,Investment Fund/Mutual Fund
XPCR,Reksa Dana PNM ETF CORE LQ45,FINANCE,Investment Fund/Mutual Fund
XPDV,Reksa Dana Pinnacle Core High Dividend ETF,FINANCE,Investment Fund/Mutual Fund
